word,RT,drift_score
इंजिनियर,709.689655145526,0.5754484534263611
इंटरनेट,668.66666665875,0.4088533520698547
इंतकाल,807.551724152184,0.6489713788032532
इंतजार,664.394736826457,0.3921923041343689
इंतेहा,787.155555556528,0.4938089847564697
इंसानी,775.197142863071,0.3439245223999023
इंसाफ,640.312500023545,0.3193134069442749
इकठ्ठा,649.402941158089,0.4743713140487671
इकतरफा,1068.04999998553,0.5182898044586182
इकलौता,665.930303036768,0.5487760305404663
इक्का,744.74999998739,0.6554999947547913
इच्छाधारी,782.889855067082,0.5901267528533936
इच्छुक,733.096666627699,0.5188089609146118
इजहार,838.988461529245,0.5888778567314148
इजाजत,658.428124992453,0.3583343625068664
इतालवी,767.241666636498,0.6839427947998047
इतिहासकार,896.310714294826,0.3159545063972473
इनकाउंटर,833.689473674718,0.4338423609733581
इनकार,737.096874991395,0.5139318704605103
इनायत,736.381818194397,0.5687370896339417
इन्कार,711.864516126262,0.6281871795654297
इन्साफ,664.964516131305,0.3456982374191284
इन्स्पेक्टर,910.647826097582,0.5132205486297607
इमरती,832.20000001388,0.6278752088546753
इमोशनल,778.016000000006,0.4878357648849487
इम्तेहान,916.762499925593,0.4845424294471741
इरशाद,911.269565200767,0.4465152025222778
इरादा,709.502777782553,0.4708762764930725
इलाज,599.661290326651,0.3457693457603454
इलाही,901.240000018262,0.5666261315345764
इल्जाम,712.471428581222,0.375818133354187
इशारा,620.959999964706,0.6239729523658752
इशारों,684.179310336119,0.450776994228363
इश्क,771.596875019073,0.4316282272338867
इस्तीफा,681.190000014054,0.3985644578933716
इस्तेमाल,670.738461528332,0.3648258447647095
ईंट,611.539393916063,0.5861951112747192
ईंधन,668.653333332227,0.4462432265281677
ईजाद,879.166666620566,0.5668122172355652
ईमाम,1150.84642860604,0.4447045922279358
ईश्वरी,662.371428582102,0.6973589658737183
ईसवी,771.542105216986,0.4453268051147461
ईसाइयों,751.915384611939,0.3299537897109985
उंचाई,615.714285719857,0.4448251128196716
उखाड़,768.366666703885,0.371358573436737
उखाड़ा,740.847619033541,0.3982047438621521
उगता,709.579411718268,0.4376415014266968
उगते,725.109090922626,0.4871307015419006
उगलता,766.621428569363,0.4231486320495605
उगलने,1020.87307693435,0.3933325409889221
उगला,701.038095260316,0.4503536224365234
उगले,860.640000004368,0.4759174585342407
उगा,751.108000092064,0.3491273522377014
उगाने,757.735999989649,0.2936360836029053
उगाही,782.846666651514,0.4854637384414673
उग्रवादी,738.970000009829,0.506533145904541
उच्चकोटि,755.667741931629,0.5683351159095764
उच्चतम,623.328571440003,0.4135015606880188
उच्चारण,613.387096777645,0.4300218224525451
उछल,738.534999997576,0.5209589004516602
उछलता,796.489999998971,0.3936834335327148
उछलते,916.033333363016,0.3567997813224792
उछाल,824.717391301483,0.5296154022216797
उछालो,830.821739139967,0.3941148519515991
उजड़ने,847.726086951792,0.3529233932495117
उजले,830.323999969035,0.4835897088050842
उजागर,750.507407403361,0.4733662009239197
उजाड़ने,977.618918920389,0.426612913608551
उजाड़ा,744.257692321996,0.4946635961532593
उजाला,681.468965518714,0.4012748003005981
उजियारा,883.720833309633,0.5283644199371338
उठक,765.587500009919,0.649608314037323
उठाइए,760.948571381149,0.4026719927787781
उठाई,746.727272744089,0.4294536113739013
उठाएं,701.238709682208,0.3425999879837036
उठाएंगे,764.262162145756,0.2554796934127807
उठाएगा,698.491176458582,0.2489920854568481
उठाकर,622.396666648189,0.3374214172363281
उठानी,930.299999988162,0.4419519901275635
उठायेंगे,647.070000006119,0.2007879614830017
उठेंगे,666.947058861966,0.2515826225280761
उड़ाई,713.749999990924,0.2915123701095581
उड़ाए,709.440624998926,0.3006468415260315
उड़ाते,697.874074089625,0.2039532661437988
उड़ानें,746.428124978876,0.3242499828338623
उड़ाया,761.791176508468,0.2575939297676086
उतम,759.650000002235,0.620728075504303
उतर,815.544444453493,0.3285440802574157
उतरती,970.290322527049,0.2792479991912842
उतरना,701.913333316672,0.2943138480186462
उतरवा,976.950000066822,0.450860321521759
उतरा,701.532258049731,0.3276596069335937
उतरी,748.492592595341,0.5607211589813232
उतरे,672.234482726569,0.4248037338256836
उतरें,749.127999992976,0.3537052273750305
उतरेंगे,700.911764718503,0.2741533517837524
उतरेगा,703.886206929299,0.2883750200271606
उतरेगी,672.503125013114,0.2884323596954345
उतारना,737.95454545784,0.2606668472290039
उतारने,715.787878784926,0.3088897466659546
उतारा,747.773076888492,0.4308636784553528
उतारी,686.749999971967,0.4380613565444946
उतारू,764.676666637246,0.4409062266349792
उतारे,755.05624993454,0.3930997848510742
उतारें,707.180000026767,0.3673803210258484
उतारेंगे,767.324137954951,0.2680164575576782
उतारेगा,861.290322588111,0.3376821279525757
उतारो,725.996875038218,0.3305461406707763
उतावली,924.040000036669,0.6345193386077881
उत्कर्ष,693.1906249971,0.5605250597000122
उत्कृष्ट,742.520000005411,0.3798737525939941
उत्कृष्टता,886.672413787078,0.4116232395172119
उत्कृष्ठ,765.662068962449,0.4235202670097351
उत्तरदायित्व,1023.09714285409,0.3468132615089416
उत्तरी,699.039285774476,0.5912715196609497
उत्तीर्ण,729.348484849109,0.4728615283966064
उत्पत्ति,658.343999995997,0.3304198980331421
उत्पन्न,704.213043466479,0.3854916095733642
उत्पाद,679.081249998519,0.4025186896324157
उत्पादन,744.331250053248,0.3455355167388916
उत्पादों,828.273684143083,0.3602426052093506
उत्साह,626.810810848795,0.4521855115890503
उत्सुकता,861.918749995893,0.423107385635376
उदघाटन,730.060869558573,0.4887832403182983
उदास,654.45405405081,0.4905000925064087
उदासीन,779.01999994504,0.5767024755477905
उदाहरण,702.275757573982,0.4361155033111572
उद्घोषक,856.623076922594,0.5956499576568604
उद्देश्य,673.583999991952,0.4329829812049866
उद्धार,724.303030314559,0.4143298268318176
उद्यमी,755.035714273291,0.521188497543335
उद्योग,657.560606057636,0.4053304195404053
उधार,712.41666662023,0.5018035173416138
उन्नत,672.764285724544,0.5246888399124146
उन्मुख,1009.641379325,0.4974690079689026
उपकार,726.568965491132,0.649836540222168
उपग्रह,717.543333347988,0.4814817309379577
उपचार,669.459459484504,0.526902437210083
उपचुनाव,733.663333345243,0.4134708046913147
उपज,685.908333317095,0.4293081760406494
उपजाऊ,762.13103449551,0.5198013186454773
उपजाया,819.620000016302,0.3450432419776916
उपजी,793.976190451643,0.5972715020179749
उपद्रवी,760.655555562789,0.523528516292572
उपनिवेश,784.429999997599,0.4930412173271179
उपनिषद,1038.53428570668,0.3339029550552368
